"DOTA_Tooltip_ability_courier_egg"		"小鸡下蛋"
"DOTA_Tooltip_ability_courier_midas"		"点石为金"
"DOTA_Tooltip_ability_courier_crystal"		"时来运转"
"DOTA_Tooltip_ability_courier_tax"		"财源滚滚"
"DOTA_Tooltip_ability_courier_physical"		"骁勇善战"
"DOTA_Tooltip_ability_courier_magical"		"魔功盖世"
"DOTA_Tooltip_ability_courier_mana"		"法力滔天"
"DOTA_Tooltip_ability_courier_cmd_cost"		"平步青云"
"DOTA_Tooltip_ability_courier_cmd_status"		"魁梧奇伟"
"DOTA_Tooltip_ability_courier_chest_hunter"		"宝箱猎人"
"DOTA_Tooltip_ability_courier_sp_duration"		"寻宝猎人"
"DOTA_Tooltip_ability_courier_one_punch"		"重拳出击"
"DOTA_Tooltip_ability_courier_draw_cost"		"多财善贾"
"DOTA_Tooltip_ability_courier_destiny"		"命运"
"DOTA_Tooltip_ability_courier_sp_focus"		"集火"
"DOTA_Tooltip_ability_courier_building_bonus"		"先令"
"DOTA_Tooltip_ability_courier_first_aid"		"急救"
"DOTA_Tooltip_ability_courier_crit"		"暴击"
"DOTA_Tooltip_ability_courier_egg_Description"		"每回合结束下一个金蛋，拾取后获得%min_gold%~%max_gold%金钱奖励。"
"DOTA_Tooltip_ability_courier_midas_Description"		"击杀怪物有%chance%%%几率掉落%min_gold%~%max_gold%金币。"
"DOTA_Tooltip_ability_courier_crystal_Description"		"击杀怪物有%chance%%%几率掉落%min_crystal%~%max_crystal%魂晶"
"DOTA_Tooltip_ability_courier_tax_Description"		"税收金币提高%tax_bonus_pct%%%。"
"DOTA_Tooltip_ability_courier_physical_Description"		"增加英雄%bonus_physical_damage_pct%%%物理伤害输出。"
"DOTA_Tooltip_ability_courier_magical_Description"		"增加英雄%bonus_magical_damage_pct%%%魔法伤害输出。"
"DOTA_Tooltip_ability_courier_mana_Description"		"英雄魔法上限提高%bonus_max_mana%。"
"DOTA_Tooltip_ability_courier_cmd_cost_Description"		"升级指挥官价格降低%cost_reduce_pct%%%。"
"DOTA_Tooltip_ability_courier_cmd_status_Description"		"指挥官生命上限提高%cmd_max_hp_bonus%%%，攻击力提高%cmd_attackpct%%%。"
"DOTA_Tooltip_ability_courier_chest_hunter_Description"		"对宝箱怪伤害提高%damage_bonus_pct%%%。"
"DOTA_Tooltip_ability_courier_sp_duration_Description"		"宝箱中掉落的金币数量提升%pct%%%。"
"DOTA_Tooltip_ability_courier_one_punch_Description"		"英雄攻击有%chance%%%概率秒杀小怪。"
"DOTA_Tooltip_ability_courier_draw_cost_Description"		"买卡价格降低%price_reduce%%%。"
"DOTA_Tooltip_ability_courier_destiny_Description"		"开局激活神器“命运之手”，获得一件随机装备。"
"DOTA_Tooltip_ability_courier_sp_focus_Description"		"初始携带%count%张法术卡“集火”，使用后周围2000码的单位会集中攻击目标。"
"DOTA_Tooltip_ability_courier_building_bonus_Description"		"人口+1"
"DOTA_Tooltip_ability_courier_first_aid_Description"		"每%interval%秒治疗一个血量最低的单位%heal_pct%%%的血量并解除其所有负面状态。"
"DOTA_Tooltip_ability_courier_crit_Description"		"所有英雄的普攻有%crit_chance%%%造成%crit_damage%%%的暴击伤害。"
"DOTA_Tooltip_ability_courier_niunian"			"招财进宝"
"DOTA_Tooltip_ability_courier_niunian_Description"			"买卡价格降低%price_reduce%%%。每隔一段时间从百宝袋倒出大量金币。"
"DOTA_Tooltip_ability_courier_niunian_inverval"			"间隔："
